DFO Area,Species Name,SMU Name,SMU Full Index,SMU Life History Type,CU Name,CU Common Name,CU Full Index,CU Life History Type,CU Type,DU Name,DU Number,DU Full Index,DU Acronym
FRASER AND INTERIOR,Sockeye,OKANAGAN SOCKEYE SALMON,SEL-FIA-01,Lake Type,OSOYOOS-SKAHA-OKANAGAN,Osoyoos-Skaha-Okanagan,SEL-01-01,Lake Type,Current,,,,
FRASER AND INTERIOR,Sockeye,,,,STONY/ROND,Stony/Rond,SEL-06-27,Lake Type,VREQ[Bin],,,,
FRASER AND INTERIOR,Sockeye,,,,FRANCOIS-LATE TIMING,Francois-Late Timing,SEL-06-05,Lake Type,VREQ[Extirpated],,,,
FRASER AND INTERIOR,Sockeye,,,,NARROW,Narrow,SEL-06-26,Lake Type,VREQ[Bin],,,,
FRASER AND INTERIOR,Sockeye,,,,FRASER RIVER MIGRATORY COUNTS,Fraser River Migratory Counts,SEL-03-xx,Lake Type,Bin,,,,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,FRANCOIS-EARLY SUMMER TIMING,Francois-Early Summer Timing,SEL-06-04,Lake Type,VREQ[Extirpated],,,,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,INDIAN/KRUGER-EARLY SUMMER TIMING,Indian/Kruger-Early Summer Timing,SEL-07-02,Lake Type,VREQ[Bin],,,,
FRASER AND INTERIOR,Sockeye,,,,MIDDLE FRASER,Middle Fraser,SER-05,River Type,VREQ[Bin],,,,
FRASER AND INTERIOR,Sockeye,,,,HANSARD,Hansard,SEL-07-03,Lake Type,VREQ[Bin],,,,
FRASER AND INTERIOR,Sockeye,,,,UPPER WHITE ROAD COMPLEX,Upper White Road Complex,SEL-06-21,Lake Type,VREQ[Bin],,,,
FRASER AND INTERIOR,Sockeye,,,,TUMUCH/SLIM,Tumuch/Slim,SEL-06-22,Lake Type,VREQ[Bin],,,,
FRASER AND INTERIOR,Sockeye,,,,CARIBOO-SUMMER TIMING,Cariboo-Summer Timing,SEL-06-18,Lake Type,VREQ[Bin],,,,
FRASER AND INTERIOR,Sockeye,,,,NICOLA,Nicola,SEL-08-01,Lake Type,VREQ[Bin],,,,
FRASER AND INTERIOR,Sockeye,,,,SALMON,Salmon,SEL-06-23,Lake Type,VREQ[Bin],,,,
FRASER AND INTERIOR,Sockeye,,,,ALOUETTE_EARLY SUMMER,Alouette_Early Summer,SEL-03-07,Lake Type,Extirpated,Alouette_ES population (original); Coquitlam-ES population (original),196; 197,SEL-DU-196; SEL-DU-197,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,TAKLA/TREMBLEUR/STUART-SUMMER TIMING,Takla/Trembleur/Stuart-Summer Timing,SEL-06-13,Lake Type,Current,Takla-Trembleur-Stuart-S population,21,SEL-DU-21,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,FRANCOIS/FRASER-SUMMER TIMING,Francois/Fraser-Summer Timing,SEL-06-07,Lake Type,Current,Francois-Fraser-S population,7,SEL-DU-7,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Lake Type,LILLOOET/HARRISON-LATE TIMING,Lillooet/Harrison-Late Timing,SEL-04-01,Lake Type,Current,Lillooet-Harrison-L population,12,SEL-DU-12,
